Keyword,Region,Region Code,Date,Related Keyword,Trend,Value,Trend Type,Source,Captured At
3d model,Global,WORLD,2026-05-15,image to 3d model,Breakout,151650,Rising,https://trends.google.com/trends/explore?q=image%20to%203d%20model&date=now%201-d,2026-05-15T10:44:44.939536+00:00
3d model,United States,US,2026-05-15,glock switch 3d model,+10300%,10300,Rising,https://trends.google.com/trends/explore?q=glock%20switch%203d%20model&date=now%201-d&geo=US,2026-05-15T10:44:44.939536+00:00
3d model,Germany,DE,2026-05-15,sketchfab,+60950%,60950,Rising,https://trends.google.com/trends/explore?q=sketchfab&date=now%201-d&geo=DE,2026-05-15T10:44:44.939536+00:00
3d model,France,FR,2026-05-15,image to 3d model,Breakout,206250,Rising,https://trends.google.com/trends/explore?q=image%20to%203d%20model&date=now%201-d&geo=FR,2026-05-15T10:44:44.939536+00:00
3d printing,United States,US,2026-05-15,thangs 3d printing,+18750%,18750,Rising,https://trends.google.com/trends/explore?q=thangs%203d%20printing&date=now%201-d&geo=US,2026-05-15T10:44:44.939536+00:00
3d printing,United States,US,2026-05-15,what does no ams mean in 3d printing,+13350%,13350,Rising,https://trends.google.com/trends/explore?q=what%20does%20no%20ams%20mean%20in%203d%20printing&date=now%201-d&geo=US,2026-05-15T10:44:44.939536+00:00
3d asset,Japan,JP,2026-05-15,unity 3d asset store,Breakout,2343150,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d&geo=JP,2026-05-15T10:44:44.939536+00:00
3d animation,Germany,DE,2026-05-15,3d animation software,Breakout,615450,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d&geo=DE,2026-05-15T10:44:44.939536+00:00
Meshy,France,FR,2026-05-16,tripo,Breakout,692700,Rising,https://trends.google.com/trends/explore?q=tripo&date=now%201-d&geo=FR,2026-05-16T08:26:40.632771+00:00
3d printing,United States,US,2026-05-16,what does fdm stand for in 3d printing,+4550%,4550,Rising,https://trends.google.com/trends/explore?q=what%20does%20fdm%20stand%20for%20in%203d%20printing&date=now%201-d&geo=US,2026-05-16T08:26:40.632771+00:00
3d animation,Global,WORLD,2026-05-16,3d animation software,Breakout,925950,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d,2026-05-16T08:26:40.632771+00:00
3d animation,France,FR,2026-05-16,3d animation software,Breakout,500100,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d&geo=FR,2026-05-16T08:26:40.632771+00:00
3d model,France,FR,2026-05-17,rafale 3d model,Breakout,142000,Rising,https://trends.google.com/trends/explore?q=rafale%203d%20model&date=now%201-d&geo=FR,2026-05-17T09:13:26.188393+00:00
3d text,United States,US,2026-05-17,panzoid 3d text,+91150%,91150,Rising,https://trends.google.com/trends/explore?q=panzoid%203d%20text&date=now%201-d&geo=US,2026-05-17T09:13:26.188393+00:00
3d printing,United States,US,2026-05-17,genesis 3d printing,+24050%,24050,Rising,https://trends.google.com/trends/explore?q=genesis%203d%20printing&date=now%201-d&geo=US,2026-05-17T09:13:26.188393+00:00
3d asset,Japan,JP,2026-05-17,unity 3d asset store,Breakout,2039400,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d&geo=JP,2026-05-17T09:13:26.188393+00:00
3d model,Global,WORLD,2026-05-18,sketchfab,Breakout,473800,Rising,https://trends.google.com/trends/explore?q=sketchfab&date=now%201-d,2026-05-18T03:38:31.264338+00:00
3d model,United States,US,2026-05-18,darth vader 3d model,+8650%,8650,Rising,https://trends.google.com/trends/explore?q=darth%20vader%203d%20model&date=now%201-d&geo=US,2026-05-18T03:38:31.264338+00:00
3d model,United States,US,2026-05-18,best budget 3d printers,+5050%,5050,Rising,https://trends.google.com/trends/explore?q=best%20budget%203d%20printers&date=now%201-d&geo=US,2026-05-18T03:38:31.264338+00:00
3d model,France,FR,2026-05-18,sketchfab,Breakout,326100,Rising,https://trends.google.com/trends/explore?q=sketchfab&date=now%201-d&geo=FR,2026-05-18T03:38:31.264338+00:00
3d printing,United States,US,2026-05-18,what does ams mean in 3d printing,+29500%,29500,Rising,https://trends.google.com/trends/explore?q=what%20does%20ams%20mean%20in%203d%20printing&date=now%201-d&geo=US,2026-05-18T03:38:31.264338+00:00
3d printing,United States,US,2026-05-18,what software to use for 3d printing,+26700%,26700,Rising,https://trends.google.com/trends/explore?q=what%20software%20to%20use%20for%203d%20printing&date=now%201-d&geo=US,2026-05-18T03:38:31.264338+00:00
3d printing,United States,US,2026-05-18,slicing software for 3d printing,+17650%,17650,Rising,https://trends.google.com/trends/explore?q=slicing%20software%20for%203d%20printing&date=now%201-d&geo=US,2026-05-18T03:38:31.264338+00:00
3d animation,Japan,JP,2026-05-18,3d animation software,Breakout,961400,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d&geo=JP,2026-05-18T03:38:31.264338+00:00
Tripo,France,FR,2026-05-18,meshy ai,Breakout,1451950,Rising,https://trends.google.com/trends/explore?q=meshy%20ai&date=now%201-d&geo=FR,2026-05-18T05:48:30.506934+00:00
3d model,France,FR,2026-05-18,sketchfab,Breakout,344400,Rising,https://trends.google.com/trends/explore?q=sketchfab&date=now%201-d&geo=FR,2026-05-18T05:48:30.506934+00:00
3d printing,United States,US,2026-05-18,what does ams mean in 3d printing,+20650%,20650,Rising,https://trends.google.com/trends/explore?q=what%20does%20ams%20mean%20in%203d%20printing&date=now%201-d&geo=US,2026-05-18T05:48:30.506934+00:00
3d model,United States,US,2026-05-18,asaro head 3d model,+9050%,9050,Rising,https://trends.google.com/trends/explore?q=asaro%20head%203d%20model&date=now%201-d&geo=US,2026-05-18T06:07:29.731308+00:00
3d text,United States,US,2026-05-18,panzoid 3d text,Breakout,124300,Rising,https://trends.google.com/trends/explore?q=panzoid%203d%20text&date=now%201-d&geo=US,2026-05-18T06:07:29.731308+00:00
3d printing,United States,US,2026-05-18,what does ams mean in 3d printing,+25800%,25800,Rising,https://trends.google.com/trends/explore?q=what%20does%20ams%20mean%20in%203d%20printing&date=now%201-d&geo=US,2026-05-18T06:07:29.731308+00:00
3d animation,Global,WORLD,2026-05-18,3d animation software,Breakout,1070700,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d,2026-05-18T06:07:29.731308+00:00
3d animation,United States,US,2026-05-18,2d vs 3d animation,+30350%,30350,Rising,https://trends.google.com/trends/explore?q=2d%20vs%203d%20animation&date=now%201-d&geo=US,2026-05-18T06:07:29.731308+00:00
3d model,United States,US,2026-05-18,darth vader 3d model,+6900%,6900,Rising,https://trends.google.com/trends/explore?q=darth%20vader%203d%20model&date=now%201-d&geo=US,2026-05-18T08:36:28.547911+00:00
3d printing,United States,US,2026-05-18,slicing software for 3d printing,+17950%,17950,Rising,https://trends.google.com/trends/explore?q=slicing%20software%20for%203d%20printing&date=now%201-d&geo=US,2026-05-18T08:36:28.547911+00:00
3d model,United States,US,2026-05-18,iss 3d model,+6400%,6400,Rising,https://trends.google.com/trends/explore?q=iss%203d%20model&date=now%201-d&geo=US,2026-05-18T10:58:07.156229+00:00
3d animation,Global,WORLD,2026-05-18,3d animation software,Breakout,813650,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d,2026-05-18T10:58:07.156229+00:00
3d animation,United States,US,2026-05-18,adobe 3d animation,Breakout,129350,Rising,https://trends.google.com/trends/explore?q=adobe%203d%20animation&date=now%201-d&geo=US,2026-05-18T10:58:07.156229+00:00
3d model,United States,US,2026-05-18,iss 3d model,+6400%,6400,Rising,https://trends.google.com/trends/explore?q=iss%203d%20model&date=now%201-d&geo=US,2026-05-18T11:14:26.853847+00:00
3d printing,United States,US,2026-05-18,what software to use for 3d printing,+23150%,23150,Rising,https://trends.google.com/trends/explore?q=what%20software%20to%20use%20for%203d%20printing&date=now%201-d&geo=US,2026-05-18T11:14:26.853847+00:00
3d model,United States,US,2026-05-18,meshmixer,+5750%,5750,Rising,https://trends.google.com/trends/explore?q=meshmixer&date=now%201-d&geo=US,2026-05-18T14:39:09.713207+00:00
3d printing,United States,US,2026-05-18,cura 3d printing software,+50850%,50850,Rising,https://trends.google.com/trends/explore?q=cura%203d%20printing%20software&date=now%201-d&geo=US,2026-05-18T14:39:09.713207+00:00
3d printing,United States,US,2026-05-18,what software to use for 3d printing,+22050%,22050,Rising,https://trends.google.com/trends/explore?q=what%20software%20to%20use%20for%203d%20printing&date=now%201-d&geo=US,2026-05-18T14:39:09.713207+00:00
3d printing,United States,US,2026-05-18,local 3d printing service,+21250%,21250,Rising,https://trends.google.com/trends/explore?q=local%203d%20printing%20service&date=now%201-d&geo=US,2026-05-18T14:39:09.713207+00:00
3d printing,United States,US,2026-05-18,3d printing services near me,+18550%,18550,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20services%20near%20me&date=now%201-d&geo=US,2026-05-18T14:39:09.713207+00:00
3d printing,United States,US,2026-05-19,when was 3d printing invented,+19400%,19400,Rising,https://trends.google.com/trends/explore?q=when%20was%203d%20printing%20invented&date=now%201-d&geo=US,2026-05-19T06:00:16.591280+00:00
3d printing,United States,US,2026-05-19,easy 3d printing ideas,+9750%,9750,Rising,https://trends.google.com/trends/explore?q=easy%203d%20printing%20ideas&date=now%201-d&geo=US,2026-05-19T06:00:16.591280+00:00
3d animation,Japan,JP,2026-05-19,3d animation software,Breakout,1012650,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d&geo=JP,2026-05-19T06:00:16.591280+00:00
3d model,United States,US,2026-05-20,tiv 2 3d model,+13050%,13050,Rising,https://trends.google.com/trends/explore?q=tiv%202%203d%20model&date=now%201-d&geo=US,2026-05-20T12:05:56.221291+00:00,IP,False
3d printing,United States,US,2026-05-20,resin 3d printing service,+21100%,21100,Rising,https://trends.google.com/trends/explore?q=resin%203d%20printing%20service&date=now%201-d&geo=US,2026-05-20T12:05:56.221291+00:00,IP,False
3d printing,United States,US,2026-05-20,3d printing in healthcare,+10300%,10300,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20in%20healthcare&date=now%201-d&geo=US,2026-05-20T12:05:56.221291+00:00,IP,False
3d printing,United States,US,2026-05-20,what does no ams mean in 3d printing,+3500%,3500,Rising,https://trends.google.com/trends/explore?q=what%20does%20no%20ams%20mean%20in%203d%20printing&date=now%201-d&geo=US,2026-05-20T12:05:56.221291+00:00,Info,True
3d asset,Germany,DE,2026-05-20,unity 3d asset store,Breakout,1719400,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d&geo=DE,2026-05-20T12:05:56.221291+00:00,Tool,True
3d animation,Germany,DE,2026-05-20,3d animation software,Breakout,747350,Rising,https://trends.google.com/trends/explore?q=3d%20animation%20software&date=now%201-d&geo=DE,2026-05-20T12:05:56.221291+00:00,Feature,True
3d model,Global,WORLD,2026-05-21,vending machine 3d model,Breakout,149000,Rising,https://trends.google.com/trends/explore?q=vending%20machine%203d%20model&date=now%201-d,2026-05-21T12:34:03.865129+00:00,IP,False
3d model,France,FR,2026-05-23,tinkercad,+78800%,78800,Rising,https://trends.google.com/trends/explore?q=tinkercad&date=now%201-d&geo=FR,2026-05-23T01:30:22.423987+00:00,Brand,False
3d printing,United States,US,2026-05-23,how to use blender for 3d printing,+20950%,20950,Rising,https://trends.google.com/trends/explore?q=how%20to%20use%20blender%20for%203d%20printing&date=now%201-d&geo=US,2026-05-23T01:30:22.423987+00:00,Info,False
3d printing,United States,US,2026-05-23,thingyverse,+12550%,12550,Rising,https://trends.google.com/trends/explore?q=thingyverse&date=now%201-d&geo=US,2026-05-23T01:30:22.423987+00:00,IP,False
3d asset,Japan,JP,2026-05-23,unity 3d asset store,Breakout,2951700,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d&geo=JP,2026-05-23T01:30:22.423987+00:00,Tool,True
3d printing,United States,US,2026-05-24,3d printing service sculpteo,Breakout,2281600,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20service%20sculpteo&date=now%201-d&geo=US,2026-05-24T01:30:24.868340+00:00,IP,False
3d printing,United States,US,2026-05-24,bestlawyersinunitedstates.com official website,+50100%,50100,Rising,https://trends.google.com/trends/explore?q=bestlawyersinunitedstates.com%20official%20website&date=now%201-d&geo=US,2026-05-24T01:30:24.868340+00:00,Feature,False
3d printing,United States,US,2026-05-24,cad programs for 3d printing,+5800%,5800,Rising,https://trends.google.com/trends/explore?q=cad%20programs%20for%203d%20printing&date=now%201-d&geo=US,2026-05-24T01:30:24.868340+00:00,Tool,False
3d printing,United States,US,2026-05-24,3d printing service,+550%,550,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20service&date=now%201-d&geo=US,2026-05-24T01:30:24.868340+00:00,IP,False
3d animation,United States,US,2026-05-24,mixamo,+63300%,63300,Rising,https://trends.google.com/trends/explore?q=mixamo&date=now%201-d&geo=US,2026-05-24T01:30:24.868340+00:00,IP,False
Luma AI,Germany,DE,2026-05-25,runway,Breakout,2192150,Rising,https://trends.google.com/trends/explore?q=runway&date=now%201-d&geo=DE,2026-05-25T01:30:32.336143+00:00,IP,False
3d printing,United States,US,2026-05-25,epfl holographic 3d printing,+75650%,75650,Rising,https://trends.google.com/trends/explore?q=epfl%20holographic%203d%20printing&date=now%201-d&geo=US,2026-05-25T01:30:32.336143+00:00,IP,False
3d printing,United States,US,2026-05-25,what is slicing in 3d printing,+4500%,4500,Rising,https://trends.google.com/trends/explore?q=what%20is%20slicing%20in%203d%20printing&date=now%201-d&geo=US,2026-05-25T01:30:32.336143+00:00,Info,False
3d printing,United States,US,2026-05-25,scrib3d p1 3d printing pen,+4400%,4400,Rising,https://trends.google.com/trends/explore?q=scrib3d%20p1%203d%20printing%20pen&date=now%201-d&geo=US,2026-05-25T01:30:32.336143+00:00,IP,False
3d character,United States,US,2026-05-25,3d character creator,+600%,600,Rising,https://trends.google.com/trends/explore?q=3d%20character%20creator&date=now%201-d&geo=US,2026-05-25T01:30:32.336143+00:00,IP,False
3d model,Germany,DE,2026-05-26,picture to 3d model,+75650%,75650,Rising,https://trends.google.com/trends/explore?q=picture%20to%203d%20model&date=now%201-d&geo=DE,2026-05-26T01:30:32.584116+00:00,Feature,False
3d printing,United States,US,2026-05-26,how to start a 3d printing business,+11800%,11800,Rising,https://trends.google.com/trends/explore?q=how%20to%20start%20a%203d%20printing%20business&date=now%201-d&geo=US,2026-05-26T01:30:32.584116+00:00,Info,False
3d printing,United States,US,2026-05-26,3d printing pens,+9950%,9950,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20pens&date=now%201-d&geo=US,2026-05-26T01:30:32.584116+00:00,IP,False
3d printing,United States,US,2026-05-26,3d scanners for 3d printing,+6750%,6750,Rising,https://trends.google.com/trends/explore?q=3d%20scanners%20for%203d%20printing&date=now%201-d&geo=US,2026-05-26T01:30:32.584116+00:00,Feature,False
3d model,Global,WORLD,2026-05-27,image to 3d model,+700%,700,Rising,https://trends.google.com/trends/explore?q=image%20to%203d%20model&date=now%201-d,2026-05-27T01:30:35.374389+00:00,Feature,True
3d printing,United States,US,2026-05-27,icon 3d printing,Breakout,104300,Rising,https://trends.google.com/trends/explore?q=icon%203d%20printing&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d printing,United States,US,2026-05-27,3d printing templates,+25900%,25900,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20templates&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d printing,United States,US,2026-05-27,icon 3d printing stock,+20800%,20800,Rising,https://trends.google.com/trends/explore?q=icon%203d%20printing%20stock&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d printing,United States,US,2026-05-27,3d printing jobs near me,+19150%,19150,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20jobs%20near%20me&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d printing,United States,US,2026-05-27,strongest filament for 3d printing,+12800%,12800,Rising,https://trends.google.com/trends/explore?q=strongest%20filament%20for%203d%20printing&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d printing,United States,US,2026-05-27,.stl files for 3d printing,+6100%,6100,Rising,https://trends.google.com/trends/explore?q=.stl%20files%20for%203d%20printing&date=now%201-d&geo=US,2026-05-27T01:30:35.374389+00:00,IP,False
3d asset,Japan,JP,2026-05-27,unity 3d asset store,Breakout,2458900,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d&geo=JP,2026-05-27T01:30:35.374389+00:00,Tool,True
image to 3d,United States,US,2026-05-28,ryan kavanaugh,Breakout,107200,Rising,https://trends.google.com/trends/explore?q=ryan%20kavanaugh&date=now%201-d&geo=US,2026-05-28T01:30:36.374046+00:00,IP,False
3d asset,Global,WORLD,2026-05-28,unity 3d asset store,Breakout,2071750,Rising,https://trends.google.com/trends/explore?q=unity%203d%20asset%20store&date=now%201-d,2026-05-28T01:30:36.374046+00:00,Tool,True
Tripo,Global,WORLD,2026-05-29,tripo ia,Breakout,1033900,Rising,https://trends.google.com/trends/explore?q=tripo%20ia&date=now%201-d,2026-05-29T01:30:32.710234+00:00,Brand,False
3d model,United States,US,2026-05-29,homelander 3d model,+10650%,10650,Rising,https://trends.google.com/trends/explore?q=homelander%203d%20model&date=now%201-d&geo=US,2026-05-29T01:30:32.710234+00:00,IP,False
3d model,United States,US,2026-05-29,create a 3d model from a picture,+4350%,4350,Rising,https://trends.google.com/trends/explore?q=create%20a%203d%20model%20from%20a%20picture&date=now%201-d&geo=US,2026-05-29T01:30:32.710234+00:00,IP,False
3d model,United States,US,2026-05-30,generate 3d model from image,+14000%,14000,Rising,https://trends.google.com/trends/explore?q=generate%203d%20model%20from%20image&date=now%201-d&geo=US,2026-05-30T01:30:31.676962+00:00,IP,False
3d printing,United States,US,2026-05-30,best free 3d modeling software for 3d printing,+15350%,15350,Rising,https://trends.google.com/trends/explore?q=best%20free%203d%20modeling%20software%20for%203d%20printing&date=now%201-d&geo=US,2026-05-30T01:30:31.676962+00:00,Feature,False
3d printing,Germany,DE,2026-05-30,3d printing service,+500%,500,Rising,https://trends.google.com/trends/explore?q=3d%20printing%20service&date=now%201-d&geo=DE,2026-05-30T01:30:31.676962+00:00,IP,True
image to 3d,United States,US,2026-05-30,background remover,Breakout,118800,Rising,https://trends.google.com/trends/explore?q=background%20remover&date=now%201-d&geo=US,2026-05-30T01:30:31.676962+00:00,IP,False
3d animation,United States,US,2026-05-30,first 3d animation movie,Breakout,168450,Rising,https://trends.google.com/trends/explore?q=first%203d%20animation%20movie&date=now%201-d&geo=US,2026-05-30T01:30:31.676962+00:00,IP,False
Meshy,Global,WORLD,2026-05-31,cults3d,+27050%,27050,Rising,https://trends.google.com/trends/explore?q=cults3d&date=now%201-d,2026-05-31T01:30:28.347077+00:00,IP,False
